doc_id	title	text	category
1	원	원 기타 미분류	기타 > 미분류
2	메디필 멜라논엑스 기미크림 30 ml	메디필 멜라논엑스 기미크림 30 ml 뷰티/위생 스킨케어	뷰티/위생 > 스킨케어
3	템포롤화장지(24 m)	템포롤화장지(24 m) 뷰티/위생 화장지/물티슈	뷰티/위생 > 화장지/물티슈
4	[펫] 고슴도치 애견 인형 베이지	[펫] 고슴도치 애견 인형 베이지 인테리어/원예 인테리어소품	인테리어/원예 > 인테리어소품
5	동구밭 더 간편한 세탁조 크리너 10개입	동구밭 더 간편한 세탁조 크리너 10개입 청소/욕실 세탁용품	청소/욕실 > 세탁용품
6	에끌라 깨끗한 물티슈 150 매 (캡형)	에끌라 깨끗한 물티슈 150 매 (캡형) 뷰티/위생 화장지/물티슈	뷰티/위생 > 화장지/물티슈
7	VT PDRN 광채시트마스크 1매 25 g	VT PDRN 광채시트마스크 1매 25 g 기타 미분류	기타 > 미분류
8	VT PDRN 광채토너 200 ml	VT PDRN 광채토너 200 ml 뷰티/위생 스킨케어	뷰티/위생 > 스킨케어
9	미모랑 마이크로 진정 패치 대형 6매입	미모랑 마이크로 진정 패치 대형 6매입 뷰티/위생 스킨케어	뷰티/위생 > 스킨케어
10	네오셀 알카라인건전지 LR6 AA 10개입	네오셀 알카라인건전지 LR6 AA 10개입 공구/디지털 건전지	공구/디지털 > 건전지
11	윙크걸헤어 노세범파우더(5 g)	윙크걸헤어 노세범파우더(5 g) 기타 미분류	기타 > 미분류
12	네오셀 알카라인 건전지 LR03 AAA 16개입	네오셀 알카라인 건전지 LR03 AAA 16개입 공구/디지털 건전지	공구/디지털 > 건전지
13	대형 방석 핫팩	대형 방석 핫팩 뷰티/위생 스킨케어	뷰티/위생 > 스킨케어
14	블랙 머리끈 40개입	블랙 머리끈 40개입 뷰티/위생 미용소품	뷰티/위생 > 미용소품
15	더랩 바이 블랑두 클리어 히알 물광 틴티드 커버 크림 40 ml	더랩 바이 블랑두 클리어 히알 물광 틴티드 커버 크림 40 ml 뷰티/위생 스킨케어	뷰티/위생 > 스킨케어
16	슬림 테두리 아트 프레임 15.3 X 20.3 cm 핑크	슬림 테두리 아트 프레임 15.3 X 20.3 cm 핑크 기타 미분류	기타 > 미분류
17	[펫] 아침애 동애등에 사료 200 g (10g당 100원)	[펫] 아침애 동애등에 사료 200 g (10g당 100원) 반려동물 반려동물공통	반려동물 > 반려동물공통
18	사각 메쉬 책상 바구니 1호 27X21X5.5cm	사각 메쉬 책상 바구니 1호 27X21X5.5cm 수납/정리 수납함	수납/정리 > 수납함
19	3중 청소용 스펀지 2P	3중 청소용 스펀지 2P 청소/욕실 청소도구	청소/욕실 > 청소도구
20	네오셀 알카라인 건전지 LR6 AA 16개입	네오셀 알카라인 건전지 LR6 AA 16개입 공구/디지털 건전지	공구/디지털 > 건전지
21	[펫] 더독 슬라이스 사사미 36 g 치킨	[펫] 더독 슬라이스 사사미 36 g 치킨 반려동물 반려동물공통	반려동물 > 반려동물공통
22	3M 스카치 박스테이프 투명 40m	3M 스카치 박스테이프 투명 40m 문구/팬시 사무용품	문구/팬시 > 사무용품
23	엠보싱 물티슈 110매입	엠보싱 물티슈 110매입 뷰티/위생 화장지/물티슈	뷰티/위생 > 화장지/물티슈
24	스테인리스 원형 수세미	스테인리스 원형 수세미 주방용품 주방잡화	주방용품 > 주방잡화
25	철판 화이트보드 20X30cm	철판 화이트보드 20X30cm 기타 미분류	기타 > 미분류
26	VT 리들샷 100 페이셜 부스팅 퍼스트 앰플 2ml*6개입	VT 리들샷 100 페이셜 부스팅 퍼스트 앰플 2ml*6개입 반려동물 강아지용품	반려동물 > 강아지용품
27	히말라야 핑크 솔트 비누 90g	히말라야 핑크 솔트 비누 90g 청소/욕실 욕실용품	청소/욕실 > 욕실용품
28	고급 세로형 쇼핑백 베이지 S	고급 세로형 쇼핑백 베이지 S 기타 미분류	기타 > 미분류
29	네스카페 수프리모 골드 마일드 커피믹스 20개입	네스카페 수프리모 골드 마일드 커피믹스 20개입 식품 음료	식품 > 음료
30	필터 샤워헤드 전용 리필 필터 3개입	필터 샤워헤드 전용 리필 필터 3개입 반려동물 강아지용품	반려동물 > 강아지용품
31	에탄올 청소포 50매입	에탄올 청소포 50매입 청소/욕실 청소도구	청소/욕실 > 청소도구
32	셀더마데일리 콜라겐 에센스겔 마스크 29 g	셀더마데일리 콜라겐 에센스겔 마스크 29 g 뷰티/위생 스킨케어	뷰티/위생 > 스킨케어
33	[펫] 더주스 치킨 힘줄 육포 닭고기 맛 70 g	[펫] 더주스 치킨 힘줄 육포 닭고기 맛 70 g 식품 음료	식품 > 음료
34	클리덤 리포좀 비타민C 잡티광앰플 30 ml	클리덤 리포좀 비타민C 잡티광앰플 30 ml 기타 미분류	기타 > 미분류
35	니트 바구니 2호	니트 바구니 2호 수납/정리 수납함	수납/정리 > 수납함
36	조임끈 비닐백 대형	조임끈 비닐백 대형 기타 미분류	기타 > 미분류
37	[펫] LG시리우스 윌 비프 스테이크 스틱 22 g (10g당 455원)	[펫] LG시리우스 윌 비프 스테이크 스틱 22 g (10g당 455원) 반려동물 반려동물공통	반려동물 > 반려동물공통
38	A4 카드 케이스	A4 카드 케이스 기타 미분류	기타 > 미분류
39	베베숲 센시티브 케어 물티슈 20매입	베베숲 센시티브 케어 물티슈 20매입 뷰티/위생 화장지/물티슈	뷰티/위생 > 화장지/물티슈
40	박 포인트 쇼핑백	박 포인트 쇼핑백 기타 미분류	기타 > 미분류
41	VT 리들샷 300 페이셜 부스팅 퍼스트 앰플 2ml*6개입	VT 리들샷 300 페이셜 부스팅 퍼스트 앰플 2ml*6개입 반려동물 강아지용품	반려동물 > 강아지용품
42	[펫] 몬스터 굿 라이프 시그니쳐 반려견용 주식캔 110 g 닭고기＆황태	[펫] 몬스터 굿 라이프 시그니쳐 반려견용 주식캔 110 g 닭고기＆황태 반려동물 반려동물공통	반려동물 > 반려동물공통
43	노비드 샴푸 쿨멘솔 500 ml	노비드 샴푸 쿨멘솔 500 ml 뷰티/위생 헤어/바디	뷰티/위생 > 헤어/바디
44	걸이형 제습제 200 g (화이트머스크향)	걸이형 제습제 200 g (화이트머스크향) 기타 미분류	기타 > 미분류
45	4스텝 일회용 샤워세트 5mX4매입	4스텝 일회용 샤워세트 5mX4매입 주방용품 일회용품	주방용품 > 일회용품
46	라이스 필링 캡슐팩	라이스 필링 캡슐팩 뷰티/위생 스킨케어	뷰티/위생 > 스킨케어
47	향락스 1kg (라벤더)	향락스 1kg (라벤더) 기타 미분류	기타 > 미분류
48	메모텍 파스텔 점착 메모 38 X 50 mm 320매입	메모텍 파스텔 점착 메모 38 X 50 mm 320매입 기타 미분류	기타 > 미분류
49	본셉 레티놀 2500 IU 링클샷 퍼펙터 15 ml	본셉 레티놀 2500 IU 링클샷 퍼펙터 15 ml 기타 미분류	기타 > 미분류
50	휘어지는 말랑핏 용기 1.6 L 버터옐로우	휘어지는 말랑핏 용기 1.6 L 버터옐로우 기타 미분류	기타 > 미분류
51	호올스 XS 멘토립터스 멘톨 향 캔디 15 g	호올스 XS 멘토립터스 멘톨 향 캔디 15 g 뷰티/위생 메이크업	뷰티/위생 > 메이크업
52	두꺼운 빅 사이즈 엠보싱 물티슈 80매입	두꺼운 빅 사이즈 엠보싱 물티슈 80매입 뷰티/위생 화장지/물티슈	뷰티/위생 > 화장지/물티슈
53	멀티 수납함 S	멀티 수납함 S 수납/정리 수납함	수납/정리 > 수납함
54	본셉 비타씨 동결 건조 더블샷 앰플 키트	본셉 비타씨 동결 건조 더블샷 앰플 키트 기타 미분류	기타 > 미분류
